"phase","parPri","parPub","trial","rat","phaseNum","nRating","stim","nRat","rat0comp","spq","excInh","ctrlType"
"ph1",5885202,"7y1v9khg",4,30,1,"ph1_2","I",2,-30,110,"Exc","pre. (E & I)"
"ph1",5885202,"7y1v9khg",5,34,1,"ph1_4","E",4,34,110,"Inh","pre. (E & I)"
"ph1",5885202,"7y1v9khg",6,-30,1,"ph1_4","I",4,30,110,"Exc","pre. (E & I)"
"ph1",5885202,"7y1v9khg",7,-66,1,"ph1_8","I",8,66,110,"Exc","pre. (E & I)"
"ph1",5885202,"7y1v9khg",8,58,1,"ph1_8","E",8,58,110,"Inh","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",1,62,1,"ph1_1","E",1,62,139,"Inh","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",2,64,1,"ph1_1","I",1,-64,139,"Exc","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",3,64,1,"ph1_2","E",2,64,139,"Inh","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",4,82,1,"ph1_2","I",2,-82,139,"Exc","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",5,68,1,"ph1_4","E",4,68,139,"Inh","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",6,82,1,"ph1_4","I",4,-82,139,"Exc","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",7,68,1,"ph1_8","I",8,-68,139,"Exc","pre. (E & I)"
"ph1",5885144,"ytj7cvgw",8,74,1,"ph1_8","E",8,74,139,"Inh","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",1,74,1,"ph1_1","I",1,-74,137,"Exc","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",2,58,1,"ph1_1","E",1,58,137,"Inh","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",3,72,1,"ph1_2","E",2,72,137,"Inh","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",4,86,1,"ph1_2","I",2,-86,137,"Exc","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",5,92,1,"ph1_4","E",4,92,137,"Inh","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",6,30,1,"ph1_4","I",4,-30,137,"Exc","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",7,66,1,"ph1_8","I",8,-66,137,"Exc","pre. (E & I)"
"ph1",5885093,"6gkjv2n5",8,56,1,"ph1_8","E",8,56,137,"Inh","pre. (E & I)"
"ph1",5885073,"8ovdjive",1,56,1,"ph1_1","I",1,-56,68,"Exc","pre. (E & I)"
"ph1",5885073,"8ovdjive",2,88,1,"ph1_1","E",1,88,68,"Inh","pre. (E & I)"
"ph1",5885073,"8ovdjive",3,76,1,"ph1_2","I",2,-76,68,"Exc","pre. (E & I)"
"ph1",5885073,"8ovdjive",4,90,1,"ph1_2","E",2,90,68,"Inh","pre. (E & I)"
"ph1",5885073,"8ovdjive",5,84,1,"ph1_4","E",4,84,68,"Inh","pre. (E & I)"
"ph1",5885073,"8ovdjive",6,46,1,"ph1_4","I",4,-46,68,"Exc","pre. (E & I)"
"ph1",5885073,"8ovdjive",7,72,1,"ph1_8","I",8,-72,68,"Exc","pre. (E & I)"
"ph1",5885073,"8ovdjive",8,88,1,"ph1_8","E",8,88,68,"Inh","pre. (E & I)"
"ph1",5885072,"ka47kum2",1,32,1,"ph1_1","E",1,32,85,"Inh","pre. (E & I)"
"ph1",5885072,"ka47kum2",2,14,1,"ph1_1","I",1,-14,85,"Exc","pre. (E & I)"
"ph1",5885072,"ka47kum2",3,18,1,"ph1_2","I",2,-18,85,"Exc","pre. (E & I)"
"ph1",5885072,"ka47kum2",4,32,1,"ph1_2","E",2,32,85,"Inh","pre. (E & I)"
"ph1",5885072,"ka47kum2",5,40,1,"ph1_4","E",4,40,85,"Inh","pre. (E & I)"
"ph1",5885072,"ka47kum2",6,14,1,"ph1_4","I",4,-14,85,"Exc","pre. (E & I)"
"ph1",5885072,"ka47kum2",7,24,1,"ph1_8","E",8,24,85,"Inh","pre. (E & I)"
